"time","sarja","values"
1999-03-05,"euribor1kk",3.109
1999-03-05,"euribor1vko",3.105
1999-03-05,"euribor3kk",3.104
1999-03-05,"euribor6kk",3.092
1999-03-08,"euribor12kk",3.097
1999-03-08,"euribor1kk",3.1
1999-03-08,"euribor1vko",3.095
1999-03-08,"euribor3kk",3.093
1999-03-08,"euribor6kk",3.068
1999-03-09,"euribor12kk",3.084
1999-03-09,"euribor1kk",3.095
1999-03-09,"euribor1vko",3.087
1999-03-09,"euribor3kk",3.087
1999-03-09,"euribor6kk",3.061
1999-03-10,"euribor12kk",3.078
1999-03-10,"euribor1kk",3.086
1999-03-10,"euribor1vko",3.073
1999-03-10,"euribor3kk",3.081
1999-03-10,"euribor6kk",3.055
1999-03-11,"euribor12kk",3.072
1999-03-11,"euribor1kk",3.076
1999-03-11,"euribor1vko",3.061
1999-03-11,"euribor3kk",3.074
1999-03-11,"euribor6kk",3.05
1999-03-12,"euribor12kk",3.029
1999-03-12,"euribor1kk",3.047
1999-03-12,"euribor1vko",3.036
1999-03-12,"euribor3kk",3.047
1999-03-12,"euribor6kk",3.024
1999-03-15,"euribor12kk",3.026
1999-03-15,"euribor1kk",3.038
1999-03-15,"euribor1vko",3.022
1999-03-15,"euribor3kk",3.039
1999-03-15,"euribor6kk",3.015
1999-03-16,"euribor12kk",3.027
1999-03-16,"euribor1kk",3.036
1999-03-16,"euribor1vko",3.02
1999-03-16,"euribor3kk",3.036
1999-03-16,"euribor6kk",3.015
1999-03-17,"euribor12kk",3.027
1999-03-17,"euribor1kk",3.042
1999-03-17,"euribor1vko",3.039
1999-03-17,"euribor3kk",3.038
1999-03-17,"euribor6kk",3.017
1999-03-18,"euribor12kk",3.019
1999-03-18,"euribor1kk",3.037
1999-03-18,"euribor1vko",3.032
1999-03-18,"euribor3kk",3.032
1999-03-18,"euribor6kk",3.01
1999-03-19,"euribor12kk",3.012
1999-03-19,"euribor1kk",3.031
1999-03-19,"euribor1vko",3.016
1999-03-19,"euribor3kk",3.027
1999-03-19,"euribor6kk",3.003
1999-03-22,"euribor12kk",3.009
1999-03-22,"euribor1kk",3.025
1999-03-22,"euribor1vko",3.017
1999-03-22,"euribor3kk",3.02
1999-03-22,"euribor6kk",2.999
1999-03-23,"euribor12kk",3.011
1999-03-23,"euribor1kk",3.024
1999-03-23,"euribor1vko",3.025
1999-03-23,"euribor3kk",3.019
1999-03-23,"euribor6kk",2.999
1999-03-24,"euribor12kk",3.01
1999-03-24,"euribor1kk",3.02
1999-03-24,"euribor1vko",3.021
1999-03-24,"euribor3kk",3.014
1999-03-24,"euribor6kk",2.995
1999-03-25,"euribor12kk",2.992
1999-03-25,"euribor1kk",3.008
1999-03-25,"euribor1vko",3.014
1999-03-25,"euribor3kk",2.998
1999-03-25,"euribor6kk",2.975
1999-03-26,"euribor12kk",2.985
1999-03-26,"euribor1kk",3.004
1999-03-26,"euribor1vko",3.013
1999-03-26,"euribor3kk",2.991
1999-03-26,"euribor6kk",2.967
1999-03-29,"euribor12kk",2.985
1999-03-29,"euribor1kk",3.002
1999-03-29,"euribor1vko",3.011
1999-03-29,"euribor3kk",2.985
1999-03-29,"euribor6kk",2.963
1999-03-30,"euribor12kk",2.978
1999-03-30,"euribor1kk",2.998
1999-03-30,"euribor1vko",3.012
1999-03-30,"euribor3kk",2.981
1999-03-30,"euribor6kk",2.956
1999-03-31,"euribor12kk",2.967
1999-03-31,"euribor1kk",2.992
1999-03-31,"euribor1vko",3.011
1999-03-31,"euribor3kk",2.971
1999-03-31,"euribor6kk",2.95
1999-04-01,"euribor12kk",2.939
1999-04-01,"euribor1kk",2.963
1999-04-01,"euribor1vko",3.001
1999-04-01,"euribor3kk",2.942
1999-04-01,"euribor6kk",2.92
1999-04-02,"euribor12kk",2.932
1999-04-02,"euribor1kk",2.952
1999-04-02,"euribor1vko",2.998
1999-04-02,"euribor3kk",2.929
1999-04-02,"euribor6kk",2.914
1999-04-05,"euribor12kk",2.93
1999-04-05,"euribor1kk",2.951
1999-04-05,"euribor1vko",2.996
1999-04-05,"euribor3kk",2.929
1999-04-05,"euribor6kk",2.912
1999-04-06,"euribor12kk",2.907
1999-04-06,"euribor1kk",2.933
1999-04-06,"euribor1vko",2.989
1999-04-06,"euribor3kk",2.905
1999-04-06,"euribor6kk",2.889
1999-04-07,"euribor12kk",2.903
1999-04-07,"euribor1kk",2.929
1999-04-07,"euribor1vko",3.012
1999-04-07,"euribor3kk",2.9
1999-04-07,"euribor6kk",2.883
1999-04-08,"euribor12kk",2.899
1999-04-08,"euribor1kk",2.927
1999-04-08,"euribor1vko",3.027
1999-04-08,"euribor3kk",2.895
1999-04-08,"euribor6kk",2.879
1999-04-09,"euribor12kk",2.719
1999-04-09,"euribor1kk",2.66
1999-04-09,"euribor1vko",2.717
1999-04-09,"euribor3kk",2.66
1999-04-09,"euribor6kk",2.676
1999-04-12,"euribor12kk",2.715
1999-04-12,"euribor1kk",2.661
1999-04-12,"euribor1vko",2.689
1999-04-12,"euribor3kk",2.661
1999-04-12,"euribor6kk",2.673
1999-04-13,"euribor12kk",2.713
1999-04-13,"euribor1kk",2.647
1999-04-13,"euribor1vko",2.655
1999-04-13,"euribor3kk",2.651
1999-04-13,"euribor6kk",2.663
1999-04-14,"euribor12kk",2.709
1999-04-14,"euribor1kk",2.632
1999-04-14,"euribor1vko",2.631
1999-04-14,"euribor3kk",2.637
1999-04-14,"euribor6kk",2.653
1999-04-15,"euribor12kk",2.707
1999-04-15,"euribor1kk",2.622
1999-04-15,"euribor1vko",2.618
1999-04-15,"euribor3kk",2.628
1999-04-15,"euribor6kk",2.647
1999-04-16,"euribor12kk",2.71
1999-04-16,"euribor1kk",2.615
1999-04-16,"euribor1vko",2.605
1999-04-16,"euribor3kk",2.626
1999-04-16,"euribor6kk",2.644
1999-04-19,"euribor12kk",2.707
1999-04-19,"euribor1kk",2.606
1999-04-19,"euribor1vko",2.589
1999-04-19,"euribor3kk",2.621
1999-04-19,"euribor6kk",2.637
1999-04-20,"euribor12kk",2.7
1999-04-20,"euribor1kk",2.594
1999-04-20,"euribor1vko",2.561
1999-04-20,"euribor3kk",2.61
1999-04-20,"euribor6kk",2.626
1999-04-21,"euribor12kk",2.692
1999-04-21,"euribor1kk",2.582
1999-04-21,"euribor1vko",2.546
1999-04-21,"euribor3kk",2.601
1999-04-21,"euribor6kk",2.618
1999-04-22,"euribor12kk",2.685
1999-04-22,"euribor1kk",2.577
1999-04-22,"euribor1vko",2.546
1999-04-22,"euribor3kk",2.596
1999-04-22,"euribor6kk",2.613
1999-04-23,"euribor12kk",2.683
1999-04-23,"euribor1kk",2.578
1999-04-23,"euribor1vko",2.557
1999-04-23,"euribor3kk",2.594
1999-04-23,"euribor6kk",2.613
1999-04-26,"euribor12kk",2.681
1999-04-26,"euribor1kk",2.574
1999-04-26,"euribor1vko",2.56
1999-04-26,"euribor3kk",2.591
1999-04-26,"euribor6kk",2.611
1999-04-27,"euribor12kk",2.677
1999-04-27,"euribor1kk",2.573
1999-04-27,"euribor1vko",2.56
1999-04-27,"euribor3kk",2.59
1999-04-27,"euribor6kk",2.608
1999-04-28,"euribor12kk",2.678
1999-04-28,"euribor1kk",2.571
1999-04-28,"euribor1vko",2.558
1999-04-28,"euribor3kk",2.588
1999-04-28,"euribor6kk",2.607
1999-04-29,"euribor12kk",2.678
1999-04-29,"euribor1kk",2.569
1999-04-29,"euribor1vko",2.555
1999-04-29,"euribor3kk",2.585
1999-04-29,"euribor6kk",2.605
1999-04-30,"euribor12kk",2.676
1999-04-30,"euribor1kk",2.568
1999-04-30,"euribor1vko",2.555
1999-04-30,"euribor3kk",2.583
1999-04-30,"euribor6kk",2.604
1999-05-03,"euribor12kk",2.68
1999-05-03,"euribor1kk",2.568
1999-05-03,"euribor1vko",2.556
1999-05-03,"euribor3kk",2.583
1999-05-03,"euribor6kk",2.604
1999-05-04,"euribor12kk",2.68
1999-05-04,"euribor1kk",2.567
1999-05-04,"euribor1vko",2.555
1999-05-04,"euribor3kk",2.581
1999-05-04,"euribor6kk",2.603
1999-05-05,"euribor12kk",2.684
1999-05-05,"euribor1kk",2.566
1999-05-05,"euribor1vko",2.554
1999-05-05,"euribor3kk",2.581
1999-05-05,"euribor6kk",2.604
1999-05-06,"euribor12kk",2.683
1999-05-06,"euribor1kk",2.565
1999-05-06,"euribor1vko",2.552
1999-05-06,"euribor3kk",2.579
1999-05-06,"euribor6kk",2.602
1999-05-07,"euribor12kk",2.691
1999-05-07,"euribor1kk",2.566
1999-05-07,"euribor1vko",2.551
1999-05-07,"euribor3kk",2.581
1999-05-07,"euribor6kk",2.605
1999-05-10,"euribor12kk",2.691
1999-05-10,"euribor1kk",2.565
1999-05-10,"euribor1vko",2.549
1999-05-10,"euribor3kk",2.582
1999-05-10,"euribor6kk",2.604
1999-05-11,"euribor12kk",2.688
1999-05-11,"euribor1kk",2.564
1999-05-11,"euribor1vko",2.548
1999-05-11,"euribor3kk",2.579
1999-05-11,"euribor6kk",2.602
1999-05-12,"euribor12kk",2.686
1999-05-12,"euribor1kk",2.563
1999-05-12,"euribor1vko",2.548
